,T1,T2,T3,Observaciones,T3 Rango:,"0,72",,
1,"0,35","0,58","0,27",,Cant. de clases:,7,,
2,"0,34","0,60","0,27",,Ancho de clase:,"0,11",,
3,"0,34","0,62","0,27",,1er clase:,"0,27 - 0,38",10,
4,"0,41","0,59","0,27",,2da clase:,"0,38 - 0,49",31,
5,"0,49","0,63","0,27",,3er clase:,"0,49 - 0,6",27,"0,34"
6,"0,45","0,62","0,34",,4ta clase:,"0,6 - 0,71",25,"0,4"
7,"0,34","0,61","0,34",,5ta clase:,"0,71 - 0,82",5,"0,41"
8,"0,37","0,56","0,34",,6ta clase:,"0,82 - 0,93",0,"0,45"
9,"0,44","0,60","0,34",,7ma clase:,"0,93 - 1,04",2,"0,46"
10,"0,59","0,59","0,35",,,,,"0,47"
11,"0,45","0,59","0,40",,moda:,"0,53",,
12,"0,54","0,61","0,40",,mediana:,"0,53",,
13,"0,45","0,58","0,40",,promedio:,"0,5564",,
14,"0,59","0,66","0,40",,,,,
15,"0,43","0,65","0,40",,,,,
16,"0,58","0,64","0,41",,,,,
17,"0,49","0,60","0,45",,,,,
18,"0,53","0,63","0,46",,,,,
19,"0,50","0,65","0,46",,,,,
20,"0,47","0,59","0,47",,,,,
21,"0,55","0,57","0,47",,,,,
22,"0,52","0,64","0,47",,,,,
23,"0,63","0,61","0,47",,,,,
24,"0,59","0,63","0,47",,,,,
25,"0,40","0,56","0,47",,,,,
26,"0,51","0,62","0,47",,,,,
27,"0,47","0,58","0,47",,,,,
28,"0,60","0,59","0,47",,,,,
29,"0,60","0,65","0,47",,,,,
30,"0,50","0,60","0,47",,,,,
31,"0,56","0,62","0,47",,,,,
32,"0,46","0,61","0,47",,,,,
33,"0,52","0,63","0,47",,,,,
34,"0,50","0,63","0,47",,,,,
35,"0,47","0,58","0,47",,,,,
36,"0,54","0,59","0,47",,,,,
37,"0,69","0,62","0,47",,,,,
38,"0,56","0,61","0,47",,,,,
39,"0,54","0,62","0,47",,,,,
40,"0,50","0,60","0,47",,,,,
41,"0,49","0,57","0,47",,,,,
42,"0,56","0,63","0,53",,,,,
43,"0,63","0,58","0,53",,,,,
44,"0,66","0,64","0,53",,,,,
45,"0,42","0,66","0,53",,,,,
46,"0,42","0,64","0,53",,,,,
47,"0,53","0,66","0,53",,,,,
48,"0,49","0,60","0,53",,,,,
49,"0,52","0,69","0,53",,,,,
50,"0,45","0,62","0,53",,,,,
51,"0,45","0,63","0,53",,,,,
52,"0,53","0,59","0,53",,,,,
53,"0,52","0,60","0,53",,,,,
54,"0,47","0,59","0,53",,,,,
55,"0,55","0,64","0,53",,,,,
56,"0,61","0,57","0,53",,,,,
57,"0,61","0,63","0,53",,,,,
58,"0,65","0,64","0,53",,,,,
59,"0,53","0,64","0,53",,,,,
60,"0,54","0,59","0,53",,,,,
61,"0,63","0,61","0,53",,,,,
62,"0,52","0,60","0,53",,,,,
63,"0,71","0,59","0,53",,,,,
64,"0,50","0,60","0,53",,,,,
65,"0,57","0,56","0,53",,,,,
66,"0,48","0,65","0,54",,,,,
67,"0,63","0,66","0,54",,,,,
68,"0,50","0,62","0,59",,,,,
69,"0,59","0,63","0,60",,,,,
70,"0,49","0,63","0,60",,,,,
71,"0,54","0,65","0,60",,,,,
72,"0,52","0,65","0,60",,,,,
73,"0,52","0,60","0,60",,,,,
74,"0,51","0,61","0,60",,,,,
75,"0,58","0,70","0,60",,,,,
76,"0,52","0,60","0,60",,,,,
77,"0,45","0,58","0,60",,,,,
78,"0,45","0,65","0,60",,,,,
79,"0,42","0,63","0,60",,,,,
80,"0,72","0,63","0,60",,,,,
81,"0,60","0,67","0,60",,,,,
82,"0,58","0,65","0,60",,,,,
83,"0,56","0,63","0,60",,,,,
84,"0,48","0,64","0,60",,,,,
85,"0,53","0,59","0,60",,,,,
86,"0,52","0,63","0,60",,,,,
87,"0,52","0,67","0,60",,,,,
88,"0,61","0,64","0,66",,,,,
89,"0,59","0,66","0,66",,,,,
90,"0,50","0,74","0,66",,,,,
91,"0,50","0,67","0,66",,,,,
92,"0,56","0,70","0,66",,,,,
93,"0,45","0,66","0,67",,,,,
94,"0,58","0,68","0,73",,,,,
95,"0,47","0,64","0,73",,,,,
96,"0,57","0,63","0,73",,,,,
97,"0,50","0,70","0,79",,,,,
98,"0,55","0,60","0,80",,,,,
99,"0,63","0,66","0,93",,,,,
100,"0,62","0,63","0,99",,,,,